x,y,z
89657.15330020526,43130.02023593184,43.217
89657.17329979474,43130.02036406815,43.217
89657.15820020526,43129.255435931846,43.2044
89657.17819979474,43129.25556406815,43.2044
89657.15820020526,43129.255435931846,43.2044
89657.17329979474,43130.02036406815,43.217
89657.15820021421,43129.25543462534,43.2044
89657.17819978579,43129.25556537466,43.2044
89657.16320021421,43128.49063462534,43.1917
89657.1831997858,43128.49076537466,43.1917
89657.16320021421,43128.49063462534,43.1917
89657.17819978579,43129.25556537466,43.2044
89657.16320021421,43128.49063462534,43.1917
89657.1831997858,43128.49076537466,43.1917
89657.1682002142,43127.72583462534,43.1759
89657.18819978579,43127.72596537466,43.1759
89657.1682002142,43127.72583462534,43.1759
89657.1831997858,43128.49076537466,43.1917
89657.16820756404,43127.726288871534,43.1759
89657.18819243595,43127.72551112846,43.1759
89657.13860756405,43126.96568887154,43.1628
89657.15859243595,43126.96491112847,43.1628
89657.13860756405,43126.96568887154,43.1628
89657.18819243595,43127.72551112846,43.1759
89657.13890344747,43126.967744762536,43.1628
89657.15829655253,43126.96285523747,43.1628
89656.95220344746,43126.22724476254,43.1566
89656.97159655252,43126.22235523747,43.1566
89656.95220344746,43126.22724476254,43.1566
89657.15829655253,43126.96285523747,43.1628
89656.95260972582,43126.22850010756,43.1566
89656.97119027417,43126.22109989245,43.1566
89656.67050972582,43125.52020010755,43.1478
89656.68909027417,43125.51279989244,43.1478
89656.67050972582,43125.52020010755,43.1478
89656.97119027417,43126.22109989245,43.1566
89656.67122541905,43125.521645538334,43.1478
89656.68837458095,43125.51135446166,43.1478
89656.27972541905,43124.869245538335,43.1405
89656.29687458095,43124.85895446166,43.1405
89656.27972541905,43124.869245538335,43.1405
89656.68837458095,43125.51135446166,43.1478
89656.28054762636,43124.870416699836,43.1405
89656.29605237364,43124.85778330016,43.1405
89655.79744762636,43124.27751669984,43.1355
89655.81295237364,43124.264883300166,43.1355
89655.79744762636,43124.27751669984,43.1355
