x,y
89660.32158984173,43128.797516682076
89660.41608404041,43128.335403989564
89660.44085549898,43126.886005908156
89660.55100528103,43126.002099906626
89660.60609498194,43124.64481904041
89660.50555811047,43124.51286083098
89660.20612411317,43123.50152187174
89658.8305704436,43121.70502476075
89658.04896277988,43120.930776128596
89658.70539824873,43121.36498333183
89655.92569560405,43119.59166230791
89656.7451683825,43120.04819331625
89655.84916940953,43119.48470142135
89653.82829935855,43118.42848303675
89652.87066588,43117.89752656518
89653.00393628275,43117.92912788052
89652.25730007689,43117.45457496657
89651.07592130231,43116.60124916096
89649.6854589575,43116.3391352802
89648.65316543293,43116.65359014387
89647.77817890214,43116.819000952826
89648.52516664134,43116.51751878128
89645.084897884,43117.454267689165
89646.93663840619,43116.895452509816
89643.28556443426,43117.88831336833
89642.85422592492,43117.951260909125
89644.27136301153,43117.56356890141
89640.27652683682,43118.66130637035
89641.33497111051,43118.34935108973
89639.47737771273,43118.71531748797
89637.7922691955,43119.04564944811
89637.97062474511,43119.02712026077
89636.49393840537,43119.43776584909
89636.31886881817,43119.53179205226
89634.54107189034,43120.264455959776
89634.70019053842,43120.11527192699
89632.10636010199,43122.216184010205
89632.96039575894,43121.335495650186
89631.56290271583,43122.924896116936
89630.44702837837,43124.355624582466
89630.7198110323,43124.084773603456
89629.89093742051,43125.44943210509
89628.91393376503,43127.014760475184
89629.62883779476,43125.83439529179
89627.28466102426,43129.69260725913
89627.99897624004,43128.5111670829
89628.01908576762,43128.45281071894
89625.50696583018,43132.400037818414
89625.92721257,43131.69738139901
89626.77514557452,43130.344765651826
89624.29456587389,43134.21526901516
89623.38524569036,43135.3381740657
89625.10321685439,43132.89563207333
89623.03871776222,43135.894842040485
89622.23361127006,43137.03782157981
89622.46035282154,43136.604848286224
89620.58488008028,43139.9922412732
89621.7821825547,43137.589097538395
89620.14496291458,43140.81584992392
89618.54074031669,43143.57878567332
89619.71387251496,43141.616551170264
89620.43564499199,43140.15012220193
89618.26630066853,43143.920321582445
89617.16270432618,43145.42264666084
89618.05770205872,43144.08473058055
89615.63640540717,43147.89735901037
89616.24444996649,43146.73475729262
89616.6261221205,43146.17611493736
89614.59938691507,43149.415805108096
89614.89207026688,43148.88957750325
89613.21415712788,43151.511367994295
89613.88335835085,43150.27479053816
89612.25261764592,43153.07429961368
89612.18222197864,43153.28763828543
89611.88602686171,43153.837924631815
89611.67679570512,43154.15417619869
89610.20707515339,43156.60205701796
89610.50194115643,43156.03429278005
89609.95433651382,43156.98883669442
89609.66677254776,43157.51433777868
89608.63657732273,43160.6497232361
89609.21209721715,43158.40904438601
89608.36023137042,43163.45940330919
89608.57311506606,43161.16954085965
89608.91201152382,43163.21808673892
89609.43178056079,43165.6828877181
89609.10529089424,43164.12789193199
89610.21197882672,43167.38134935718
89609.5350547028,43165.97868338605
89611.0844347916,43168.14346793271
89611.45043365787,43168.56272451311
89612.18511557163,43169.12073849404
89613.63426912822,43170.096575681746
89613.70316025936,43169.96222092098
89615.54553086161,43170.84182751565
89615.05189539536,43170.675237304175
89617.71522698653,43171.11652221479
89616.87915017115,43171.14677989909
89620.28027949159,43170.88533317203
89618.68307809751,43171.128835034935
89621.79485471941,43170.41990694223
89622.50673748135,43169.95298404505
89622.29241852669,43170.09867369975
89623.22717106978,43169.390952097434
89624.56228964559,43167.97601202906
89625.25965745885,43166.921975984034
89625.82128103227,43166.1706929701
89626.40710571303,43165.41730933948
89626.15721234102,43165.846308696506
89628.20648687551,43162.60036914817
89626.70864954975,43165.02459956592
89628.19923655714,43162.65647886923
89630.10835290425,43159.32799601048
89628.85060196863,43161.591139677854
89628.59775960103,43162.00635793726
89630.98339106081,43157.90921243821
89631.52611713353,43157.10199967222
89630.1911949571,43159.344255654876
89632.23259583589,43155.873653076684
89631.99803666104,43156.40141558019
89633.3273775566,43153.70548437858
89634.05855495077,43152.131793807115
89632.76750959545,43154.94129241895
89634.45654623445,43151.41256115601
89634.47098222518,43151.49105323803
89635.48288836333,43149.50200697612
89636.45642032512,43147.55672115202
89635.16601836352,43150.22116837117
89637.01706177655,43146.562920021795
89637.19019450809,43146.550722537
89637.36669814815,43145.499351570434
89639.07782328119,43143.3542037702
89637.99627120177,43144.70580753604
89640.02649845801,43141.95408818652
89639.3286673348,43143.10430160404
89640.09492249202,43141.73099312337
89640.55285570213,43140.90210022009
89641.79024187429,43139.6690019135
89642.40670760091,43139.56886440508
89643.05096931806,43139.57889113888
89644.29339795983,43140.51285495962
89644.2395271235,43140.55471098145
89644.35347002458,43142.251786977286
89644.29991204341,43142.249642057424
89643.36598028075,43143.57466703012
89641.07258899709,43147.06262773468
89641.84168357398,43146.16097770229
89643.48845799128,43143.36468203216
89642.17283150919,43145.52698994043
89639.76302692566,43149.31068552897
89639.8242773371,43149.33300979292
89640.7869748519,43147.637180879545
89638.38157964814,43151.5694987593
89638.55034193696,43151.227128618986
89638.42970257616,43151.40845643858
89636.2266918855,43155.07066435287
89637.38352033852,43153.06425823833
89636.92134412321,43153.85791502517
89634.42307289457,43157.99468282485
89633.90968416956,43158.765345257554
89635.83019883303,43155.5854685478
89635.46538955519,43156.20470850804
89633.01919503997,43160.19116832666
89632.55001646849,43160.89421114459
89633.80567362558,43158.834142636384
89630.08082747259,43164.92412748452
89630.38120155843,43164.22798815192
89632.0980411938,43161.41151759877
89630.87231907989,43164.68754228702
89628.3344550512,43167.289625224534
89629.9352014445,43164.93136848124
89628.13351878205,43167.81714559833
89628.59140066431,43166.987172849826
89626.79008675633,43169.68408502931
89627.2381925473,43169.071648568875
89626.73158778626,43169.93064065903
89625.84770828311,43171.10088569659
89624.83625410292,43172.058742402805
89623.99671149814,43172.424383678626
89623.41203650573,43172.54372174863
89622.77103310972,43172.60658513817
89621.90111531755,43172.772098441645
89620.24833510205,43173.23492240139
89618.91405394251,43173.74074776293
89618.60022795212,43173.89846641275
89617.72460952503,43174.45066671054
89617.580772241,43174.48189952107
89616.48158701626,43175.833019292615
89615.77053006827,43177.04587138559
89615.86320980013,43177.36832944475
89615.8331838311,43177.71364985865
89615.46531927766,43179.13011496732
89615.0185065773,43180.25744739651
89614.99827294817,43180.289932971726
89615.14242542334,43182.05899178534
89615.2090838899,43182.756139488236
89615.42047196833,43184.109341790456
89615.89995765242,43185.10075829939
89616.50151831747,43185.93461497329
89616.55823389148,43186.0114237033
89618.30614172229,43187.470402977175
89616.48664507772,43186.14825211944
89621.14791048854,43189.675464051914
89619.61377827392,43188.74952287525
89619.89136973086,43188.264372778365
89622.42701165208,43191.02218443571
89621.35437227525,43189.97412472623
89622.44609816147,43190.57308308146
89624.30791090525,43191.621511669044
89625.68774651355,43192.3731445909
89626.10323376246,43192.5200756078
89626.40189610263,43192.68495208498
89626.90248608468,43192.85106392872
89630.05408946727,43192.886329028406
89628.76188382233,43193.049612740586
89630.55294710545,43192.83289711151
89632.6603131973,43192.25009213655
89632.60850498664,43192.276933006804
89632.74091101215,43192.255936615
89635.5427392811,43190.38835766752
89634.17580907627,43191.56231943964
89636.72271990724,43189.0454712179
89635.97243156534,43189.75879482665
89637.47835009116,43187.89713360407
89638.14819141495,43186.94905371904
89637.7207077773,43187.70927459859
89639.14824028256,43185.30483616503
89639.75980923463,43184.48705939795
89640.14978709276,43184.1353261491
89640.6155298572,43183.867462965965
89641.14626326933,43183.72230810859
89642.01183890682,43183.642303850786
89642.68551092698,43183.723543305176
89643.91707091441,43183.99784011033
89645.07066736557,43184.59585813961
89645.46156032135,43184.94899045622
89647.6457901201,43186.431452539706
89646.99317935747,43186.055512248895
89650.83509702406,43188.463544258004
89649.94260546415,43187.94430104149
89647.86055686107,43186.643790205635
89651.10122292221,43188.67624284087
89653.43382704849,43190.160906046374
89651.25677069106,43188.84892775536
89654.78687577792,43190.989782821955
89655.08210888832,43191.22530406346
89654.09899134976,43190.5742564595
89657.04866614594,43192.54953210008
89657.61009100324,43192.83285443024
89657.20421915899,43192.72661189849
89660.3042959587,43193.06450112984
89659.37838055722,43193.16380710278
89660.72914157242,43193.04788468421
89662.81415587863,43192.191632149494
89663.50419149591,43191.64834126946
89662.85692565933,43192.31626710044
89664.78521785428,43189.68799873054
89664.09025467429,43190.59269951402
89666.12374575561,43187.58778728309
89665.02508276899,43189.411447062375
89667.36679084349,43185.60800506678
89666.48206953319,43187.1220889522
89667.3175084101,43185.75018888525
89668.60813690233,43183.46222728633
89667.98761145568,43184.80747213641
89669.03062443492,43182.492499851694
89669.37755156858,43180.97726424933
89669.18529327595,43180.2724180828
89669.22208155457,43180.351923774186
89669.02202397253,43179.637882292605
89668.30144963149,43178.30264243434
89666.74177001437,43176.44572032036
89667.3714191425,43177.04127120334
89666.7416227714,43176.36991954432
89665.67630959682,43175.58620326422
89663.1524927974,43174.00257972308
89664.85991624682,43174.97184627813
89661.64890533006,43173.12802429616
89662.9040174776,43173.79481436034
89659.75267265481,43172.06819516986
89661.0059437231,43172.71627861682
89658.02973079022,43171.23710464562
89659.02593858945,43171.64201144486
89656.33164206296,43170.59909447893
89657.08083010979,43170.744255453414
89655.58947074418,43170.44377323774
89653.4759037264,43170.25547023921
89653.64723120007,43170.24206481571
89653.350475825,43170.16882363886
89650.33699103308,43169.9245930973
89650.96587336269,43169.989929034884
89649.83807263713,43169.78866897808
89648.36235748729,43168.94618389273
89648.29648697171,43168.806361929426
89648.27786135778,43167.634658941344
89648.59902762107,43166.84560575374
89649.39741155367,43166.294379047315
89650.50107747066,43166.010263742384
89651.13267470211,43165.72258900738
89652.46301890416,43165.130150284924
89652.61358456743,43165.17705629181
89654.62176767428,43164.455371535034
89654.52355460795,43164.440041239504
89655.8541092842,43163.940987845635
89655.97010497884,43163.93606026975
89657.12913051125,43163.329219906314
89658.08357843776,43162.89355574751
89659.79790126656,43163.101991746895
89659.96210912195,43163.33245107557
89660.41280490601,43164.35867610802
89660.26080515247,43164.964225457756
89659.55885708082,43165.70774786831
89659.16116460891,43166.335072321286
89658.89664148547,43166.875354118965
89658.58223352482,43167.588995828446
89658.55829943121,43168.77654388146
89658.94531542945,43169.644228260426
89660.24263569921,43170.548777155345
89662.23273029212,43171.826165407794
89660.50691124967,43170.76894128531
89663.90852719964,43172.905530711265
89662.2478405825,43171.90996877817
89664.77218969836,43173.40492756378
89666.5839015279,43174.36766908934
89665.20663861536,43173.714888504415
89667.712946698,43174.91110715263
89668.9979567727,43175.06556910588
89669.64920927843,43174.989144996944
89669.06986704722,43175.16428877579
89671.99642380637,43174.73452037713
89672.07454725099,43174.72214952865
89672.27638789626,43174.699829694175
89674.06497467884,43173.991738938006
89675.47957292132,43172.9817818104
89675.55264886479,43172.85523288613
89676.01532009903,43172.127915370744
89676.10523524653,43172.07416999132
89678.1090493391,43168.86014427206
89677.1774459606,43170.3944339358
89678.14604728959,43168.88231601598
89679.12925008632,43167.404619395216
89678.89230107378,43167.49523500207
89679.5518362659,43166.824477587616
89680.05970686727,43165.87486996453
89680.54487042528,43165.04297571552
89681.25220162109,43164.31338937671
89681.98180955443,43163.54900552346
89682.55342819527,43163.0529455549
89683.32711062914,43162.32008767965
89684.04674561488,43161.49465338883
