x,y,z
89653.90644819557,43131.23439483379,43.217
89654.00635180442,43131.23000516621,43.217
89653.85834819557,43130.139694833786,43.1997
89653.95825180442,43130.13530516621,43.1997
89653.85834819557,43130.139694833786,43.1997
89654.00635180442,43131.23000516621,43.217
89653.85834797502,43130.1396898378,43.1997
89653.95825202497,43130.13531016219,43.1997
89653.82874797503,43129.4644898378,43.1825
89653.92865202497,43129.460110162196,43.1825
89653.82874797503,43129.4644898378,43.1825
89653.95825202497,43130.13531016219,43.1997
89653.82968641442,43129.472182743055,43.1825
89653.92771358558,43129.45241725694,43.1825
89653.69878641442,43128.822982743055,43.1739
89653.79681358558,43128.803217256944,43.1739
89653.69878641442,43128.822982743055,43.1739
89653.92771358558,43129.45241725694,43.1825
89653.7005682357,43128.82950610868,43.1739
89653.7950317643,43128.796693891316,43.1739
89653.5312682357,43128.342106108685,43.1653
89653.6257317643,43128.30929389132,43.1653
89653.5312682357,43128.342106108685,43.1653
89653.7950317643,43128.796693891316,43.1739
89653.53263997403,43128.34562129415,43.1653
89653.62436002598,43128.30577870585,43.1653
89653.30453997402,43127.820521294154,43.148
89653.39626002597,43127.78067870585,43.148
89653.30453997402,43127.820521294154,43.148
89653.62436002598,43128.30577870585,43.1653
89653.30839821552,43127.82772656002,43.148
89653.39240178447,43127.773473439986,43.148
89653.02719821552,43127.39232656002,43.1398
89653.11120178447,43127.33807343998,43.1398
89653.02719821552,43127.39232656002,43.1398
89653.39240178447,43127.773473439986,43.148
89653.02974983377,43127.3959194476,43.1398
89653.10865016622,43127.3344805524,43.1398
89652.58394983377,43126.823419447595,43.1315
89652.66285016622,43126.7619805524,43.1315
89652.58394983377,43126.823419447595,43.1315
89653.10865016622,43127.3344805524,43.1398
89652.58506781129,43126.82480363436,43.1315
89652.6617321887,43126.76059636564,43.1315
89651.73976781129,43125.81550363436,43.115
89651.8164321887,43125.75129636564,43.115
89651.73976781129,43125.81550363436,43.115
89652.6617321887,43126.76059636564,43.1315
89651.7428255326,43125.81883602579,43.115
89651.8133744674,43125.74796397421,43.115
89650.9751255326,43125.054636025794,43.0985
89651.0456744674,43124.98376397421,43.0985
89650.9751255326,43125.054636025794,43.0985
89651.8133744674,43125.74796397421,43.115
89650.98484981299,43125.06217892515,43.0985
89651.03595018701,43124.97622107485,43.0985
89650.14764981299,43124.56447892515,43.0903
89650.19875018702,43124.47852107485,43.0903
89650.14764981299,43124.56447892515,43.0903
89651.03595018701,43124.97622107485,43.0985
89650.15887448983,43124.56940386033,43.0903
89650.18752551018,43124.47359613967,43.0903
89649.44527448983,43124.35600386033,43.082
89649.47392551017,43124.26019613967,43.082
89649.44527448983,43124.35600386033,43.082
89650.18752551018,43124.47359613967,43.0903
89649.45436330831,43124.35782501471,43.082
89649.4648366917,43124.25837498529,43.082
89648.39656330831,43124.24642501471,43.115
89648.4070366917,43124.14697498529,43.115
89648.39656330831,43124.24642501471,43.115
89649.4648366917,43124.25837498529,43.082
89648.41491950853,43124.24494809504,43.115
89648.38868049148,43124.14845190496,43.115
89647.55031950853,43124.480048095036,43.1233
89647.52408049148,43124.38355190496,43.1233
89647.55031950853,43124.480048095036,43.1233
89648.38868049148,43124.14845190496,43.115
89647.54664217086,43124.480900361006,43.1233
89647.52775782916,43124.38269963899,43.1233
89646.63194217085,43124.65680036101,43.1315
89646.61305782915,43124.55859963899,43.1315
89646.63194217085,43124.65680036101,43.1315
89647.52775782916,43124.38269963899,43.1233
89646.63492412645,43124.6561318204,43.1315
89646.61007587354,43124.559268179604,43.1315
89644.78522412646,43125.13063182039,43.1357
89644.76037587355,43125.0337681796,43.1357
89644.78522412646,43125.13063182039,43.1357
89646.61007587354,43124.559268179604,43.1315
89644.7826553145,43125.13121910795,43.1357
89644.76294468551,43125.033180892045,43.1357
89641.9455553145,43125.70161910795,43.1398
89641.92584468551,43125.60358089205,43.1398
89641.9455553145,43125.70161910795,43.1398
89644.76294468551,43125.033180892045,43.1357
89641.94764284203,43125.701152740345,43.1398
89641.92375715797,43125.60404725966,43.1398
89640.00274284203,43126.179552740345,43.1439
89639.97885715797,43126.08244725966,43.1439
89640.00274284203,43126.179552740345,43.1439
89641.92375715797,43125.60404725966,43.1398
89640.00965526506,43126.177308521124,43.1439
89639.97194473493,43126.08469147888,43.1439
89638.30445526507,43126.87160852112,43.148
89638.26674473494,43126.778991478874,43.148
89638.30445526507,43126.87160852112,43.148
89639.97194473493,43126.08469147888,43.1439
89638.31955957104,43126.86199806177,43.148
89638.25164042896,43126.78860193822,43.148
89637.00895957105,43128.074798061774,43.148
89636.94104042897,43128.00140193822,43.148
89637.00895957105,43128.074798061774,43.148
89638.25164042896,43126.78860193822,43.148
89637.01700180236,43128.06522653021,43.148
89636.93299819765,43128.01097346978,43.148
89635.79610180236,43129.955626530216,43.148
89635.71209819765,43129.90137346979,43.148
89635.79610180236,43129.955626530216,43.148
89636.93299819765,43128.01097346978,43.148
89635.79615143515,43129.955549526974,43.148
89635.71204856486,43129.90145047303,43.148
89634.52805143515,43131.92694952697,43.148
89634.44394856486,43131.872850473024,43.148
89634.52805143515,43131.92694952697,43.148
89635.71204856486,43129.90145047303,43.148
89634.52751517811,43131.927765574175,43.148
89634.4444848219,43131.87203442582,43.148
89633.0613151781,43134.11216557418,43.148
89632.97828482189,43134.056434425824,43.148
89633.0613151781,43134.11216557418,43.148
89634.4444848219,43131.87203442582,43.148
89633.06237624212,43134.11051571461,43.148
89632.97722375787,43134.058084285396,43.148
89631.65917624212,43136.389415714606,43.148
89631.57402375787,43136.33698428539,43.148
89631.65917624212,43136.389415714606,43.148
89632.97722375787,43134.058084285396,43.148
89631.65891924477,43136.389828587045,43.148
89631.57428075522,43136.336571412954,43.148
89629.88171924478,43139.21422858704,43.148
89629.79708075522,43139.16097141295,43.148
89629.88171924478,43139.21422858704,43.148
89631.57428075522,43136.336571412954,43.148
89629.88155173784,43139.214492957486,43.148
89629.79724826216,43139.16070704251,43.148
89627.35965173785,43143.167292957485,43.148
89627.27534826216,43143.11350704251,43.148
89627.35965173785,43143.167292957485,43.148
89629.79724826216,43139.16070704251,43.148
89627.35932857933,43143.16779288549,43.148
89627.27567142068,43143.1130071145,43.148
89625.72892857932,43145.65739288549,43.148
89625.64527142067,43145.6026071145,43.148
89625.72892857932,43145.65739288549,43.148
89627.27567142068,43143.1130071145,43.148
89625.72998277094,43145.65571124174,43.148
89625.64421722906,43145.60428875825,43.148
89624.22218277094,43148.17051124175,43.148
89624.13641722906,43148.119088758256,43.148
89624.22218277094,43148.17051124175,43.148
89625.64421722906,43145.60428875825,43.148
89624.22115416761,43148.17215376995,43.148
89624.1374458324,43148.117446230055,43.148
89622.56865416761,43150.70065376995,43.148
89622.4849458324,43150.645946230055,43.148
89622.56865416761,43150.70065376995,43.148
89624.1374458324,43148.117446230055,43.148
89622.56954931913,43150.699232524,43.148
89622.48405068088,43150.647367476005,43.148
89620.97474931912,43153.328232524,43.148
89620.88925068088,43153.276367476006,43.148
89620.97474931912,43153.328232524,43.148
89622.48405068088,43150.647367476005,43.148
89620.97364123001,43153.32997684799,43.148
89620.89035876999,43153.274623152014,43.148
89619.92994123002,43154.90027684799,43.148
89619.84665877,43154.84492315201,43.148
89619.92994123002,43154.90027684799,43.148
89620.89035876999,43153.274623152014,43.148
89619.93081493578,43154.89891501893,43.148
89619.84578506423,43154.846284981075,43.148
89618.62691493578,43157.00551501893,43.148
89618.54188506423,43156.952884981074,43.148
89618.62691493578,43157.00551501893,43.148
89619.84578506423,43154.846284981075,43.148
89618.62591620629,43157.00706403936,43.148
89618.54288379372,43156.95133596064,43.148
89617.38131620629,43158.86146403936,43.148
89617.29828379372,43158.80573596064,43.148
89617.38131620629,43158.86146403936,43.148
89618.54288379372,43156.95133596064,43.148
89617.38285861955,43158.85901565337,43.148
89617.29674138046,43158.80818434663,43.148
89616.85215861954,43159.75811565337,43.148
89616.76604138046,43159.70728434663,43.148
89616.85215861954,43159.75811565337,43.148
89617.29674138046,43158.80818434663,43.148
89616.85162772394,43159.758994348034,43.148
89616.76657227606,43159.70640565197,43.148
89616.45672772394,43160.39769434804,43.148
89616.37167227606,43160.34510565197,43.148
89616.45672772394,43160.39769434804,43.148
89616.76657227606,43159.70640565197,43.148
89616.45943299404,43160.39270672219,43.148
89616.36896700595,43160.35009327782,43.148
89616.16743299404,43161.012606722186,43.148
89616.07696700595,43160.96999327782,43.148
89616.16743299404,43161.012606722186,43.148
89616.36896700595,43160.35009327782,43.148
89616.17214036033,43160.993741438695,43.148
89616.07225963967,43160.98885856131,43.148
