# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 89656.3124028; 43129.1596191; 2.9718003; -0.0750702; 7.7084776; -1.2089866
0.9974297; 89656.0975915; 43128.1530627; 2.8889458; -0.0862827; 7.5504218; -1.1839406
1.9948593; 89655.8077278; 43127.2073120; 2.7972768; -0.0993849; 7.3923660; -0.0384811
2.9922890; 89655.4348092; 43126.3127261; 2.6929176; -0.1187971; 7.3871720; 1.9043166
3.9897187; 89654.9563435; 43125.4574705; 2.5679678; -0.1319561; 7.6399708; 1.9683885
4.9871484; 89654.3536346; 43124.6467877; 2.4386308; -0.1202424; 7.8927696; 2.4116429
5.9845780; 89653.6748427; 43123.9280643; 2.3366344; -0.0876660; 8.1918679; 2.5627899
6.9820077; 89652.9182913; 43123.2582827; 2.2566008; -0.0735024; 8.4981825; 2.6200261
7.9794374; 89652.1177979; 43122.6506169; 2.1833411; -0.0768107; 8.8003233; 2.3188311
8.9768670; 89651.2518714; 43122.0990892; 2.0862754; -0.1130845; 9.0593284; 2.3860877
9.9742967; 89650.3723253; 43121.6696444; 1.9580245; -0.1478122; 9.3183336; 2.2500535
10.9717264; 89649.4594150; 43121.3741227; 1.8098148; -0.1475370; 9.5561436; 2.1225642
11.9691561; 89648.4953531; 43121.2063557; 1.6823348; -0.1113174; 9.7751776; 2.1706638
12.9665857; 89647.4641504; 43121.1433430; 1.5881206; -0.0719877; 9.9942117; 0.0580033
13.9640154; 89646.5152033; 43121.1558242; 1.5303921; -0.0513195; 9.9999988; 0.0000066
14.9614451; 89645.5182604; 43121.2191329; 1.4867459; -0.0369711; 9.9999994; 0.0000066
15.9588747; 89644.4786474; 43121.3248999; 1.4538913; -0.0264873; 10.0000001; 0.0000003
16.9563044; 89643.4919834; 43121.4564203; 1.4200237; -0.0420969; 10.0000001; 0.0000002
17.9537341; 89642.5026182; 43121.6312179; 1.3687240; -0.0606652; 10.0000001; 0.0000002
18.9511638; 89641.5338442; 43121.8641666; 1.2969578; -0.0845420; 10.0000001; 0.0000001
19.9485934; 89640.5605128; 43122.1868041; 1.2036963; -0.0919588; 10.0000002; 0.0000001
20.9460231; 89639.6362673; 43122.5927028; 1.1098703; -0.0944036; 10.0000002; 0.0000001
21.9434528; 89638.7894824; 43123.0635735; 1.0157436; -0.1006175; 10.0000002; 0.0000000
22.9408824; 89637.9674964; 43123.6330721; 0.9149808; -0.0960280; 10.0000002; 0.0000000
23.9383121; 89637.2083547; 43124.2730522; 0.8293393; -0.0744002; 10.0000002; 0.0000000
24.9357418; 89636.5055402; 43124.9590656; 0.7705729; -0.0449842; 10.0000002; 0.0000000
25.9331714; 89635.8371750; 43125.6782245; 0.7273948; -0.0428279; 10.0000002; 0.0000000
26.9306011; 89635.1888154; 43126.4379586; 0.6860257; -0.0399048; 10.0000002; 0.0000000
